appeal,supreme,url,type
286/2019,17/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=bd39b00b-93b8-41ea-9bd9-b6ba482ba7db,ákvörðun
410/2020,36/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=5530683b-bb13-4292-a799-38a61d318bdc,ákvörðun
3/2021,1/2021,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=10c2b06a-d631-4474-b9e3-52829698be11,ákvörðun
444/2019,37/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=e99b632b-56fa-4da8-ae12-735a14e5359c,ákvörðun
490/2018,42/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=a1962b39-f939-4bdf-a1f6-9bb2fe439880,ákvörðun
261/2019,24/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=a5b62e42-b528-41c0-9eb8-048875864cb9,ákvörðun
387/2019,25/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=8ed0fefa-3f2f-4889-ab11-f8f3e8cdc340,ákvörðun
258/2019,21/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=ddb4be0e-6842-4919-8ce1-b5808aae55d5,ákvörðun
259/2019,20/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=5aee710b-cfff-470a-8787-ba2dd905030d,ákvörðun
680/2019,32/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=646db761-4d80-4137-bb22-fa92f8bf8b46,ákvörðun
678/2019,31/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=cb3cf462-accf-4d0f-9c04-ad7709c23852,ákvörðun
147/2020,33/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b128e9e9-1270-428f-81d8-ac3a8637d09f,ákvörðun
113/2019,14/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=d9ba449f-18d0-4f87-98da-76ec6ff995e5,ákvörðun
35/2019,19/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=3754cec7-6662-4d22-8b4b-3ad45b6450a9,ákvörðun
907/2018,16/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=9e7a189b-834a-4731-9621-9c51d81cdf5f,ákvörðun
260/2019,13/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=8b253016-baa1-43c3-a9ca-5c410c71da86,ákvörðun
862/2018,15/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b0e1a302-450b-4951-9a9b-707dda09623c,ákvörðun
255/2019,10/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=8b876eb5-fea2-4b3b-8b81-7b755ca26f19,ákvörðun
782/2018,54/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=2fbc8358-80f1-4d7b-accb-850a36e821fc,ákvörðun
234/2019,6/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=69f6eb8d-5218-425b-88b3-e2f1e813e053,ákvörðun
900/2018,5/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=81e34e06-dfb5-4223-b9a1-17be7650b297,ákvörðun
217/2019,4/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=447c90d6-7aee-4254-ad7d-d006481d41dc,ákvörðun
847/2018,2/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b1461c45-e78d-4827-a2fd-21079dfc44a9,ákvörðun
899/2018,3/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=16a1d14a-e13e-4f0e-bc8e-61df7d914cd3,ákvörðun
736/2018,57/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=7cb61167-2d01-42b0-ac75-aa11c799ce42,ákvörðun
928/2018,56/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=68494966-e7f2-4938-aa3f-c5bd2699bf92,ákvörðun
647/2018,39/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=0247832b-bbaf-4318-ada2-9b859c712f9d,ákvörðun
930/2018,55/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=d558e0be-e529-4b4c-8d41-22b6b71dd2a7,ákvörðun
825/2018,53/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=4123ed90-3e1b-4068-86f0-dab01a50f0b8,ákvörðun
804/2018,52/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=a4015264-e337-4c39-9d04-f71991a71fce,ákvörðun
784/2019,8/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=3b488565-f5ca-44d7-a77d-dcdf2c790f40,ákvörðun
783/2019,7/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b1441c1e-befb-4eab-b09e-4cb2b94de986,ákvörðun
580/2019,11/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=f709c0f3-52a9-428d-b787-fd90ffe43779,ákvörðun
929/2018,51/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=7bda2be6-c3a8-4afc-8b89-855d988a68b3,ákvörðun
802/2018,50/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=0a3bd702-eabb-4471-9d67-f61db9923eaa,ákvörðun
511/2018,30/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=23c0c045-83f3-4eff-a8eb-66dc577b5e1e,ákvörðun
10/2019,1/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=95446ba3-1cc2-4447-ad29-2aba56a53185,ákvörðun
224/2019,12/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=ed865e88-54d9-4810-81c3-06d970910346,ákvörðun
421/2019,58/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=d7c5c3af-37d0-4625-911a-2091f1a6b4f9,ákvörðun
355/2019,49/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=5e7b1978-12ad-4b8e-a3e5-656172c6f004,ákvörðun
590/2018,19/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=d2b48246-1946-4614-9088-8330218a02b4,ákvörðun
596/2018,31/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=ba845885-cb9a-44ea-81f9-71de9b0d27cd,ákvörðun
763/2018,41/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=141aa8ec-de3f-4af8-9e84-6048f64ff305,ákvörðun
819/2018,36/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=c3f94005-b766-4dfa-abd8-ca9039e47806,ákvörðun
416/2018,40/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b03542ee-0041-4474-a8c9-dc72b3c33536,ákvörðun
484/2018,25/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=7ea9351f-6484-4003-9b22-73b66be28346,ákvörðun
622/2018,38/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=efd31f78-d599-4279-aba1-ece7c7780a1b,ákvörðun
409/2018,22/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=7f1ad4e6-7126-4541-bf91-9742e4674ae2,ákvörðun
10/2019,47/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=ddd49ded-3713-4c6e-bc04-5a3f13910c49,ákvörðun
551/2018,21/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=506444e3-354b-4ca5-aeac-40c1ee80575c,ákvörðun
468/2018,18/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=79a6eef8-2748-4535-b951-8e88b3aa29be,ákvörðun
530/2018,17/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=af6a62b9-be1c-4a44-abba-de516ff10a45,ákvörðun
332/2018,45/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=19d4164d-c670-4131-b438-ce8b3ee5c3f2,ákvörðun
461/2019,44/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=311c643d-0986-4dae-85e3-5b1975b96105,ákvörðun
208/2019,32/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=61f3c3d5-100e-4350-8e04-a4d99ec034cf,ákvörðun
602/2018,27/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=1d4ec1ae-087d-48fe-9cb3-4dc50c2a8e67,ákvörðun
575/2018,23/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=166f7297-035a-4e1e-aa7f-8ecac6efd257,ákvörðun
549/2019,43/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=855b6888-2026-423c-9d2a-97fa7035cc20,ákvörðun
565/2018,26/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=69de0445-0f48-4e3c-a553-4f0785fa5e5b,ákvörðun
700/2018,33/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=56586be9-e094-4566-8744-61bcb0a45029,ákvörðun
321/2019,29/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=6b0249de-340c-4c8c-9f34-b2049d1aba5e,ákvörðun
482/2018,11/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b6245df7-27db-4a54-8499-f7d542061986,ákvörðun
281/2018,10/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=62364a8e-01d4-452a-aeb2-95b8d56a6664,ákvörðun
302/2019,28/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=d6b8c7b4-ce4d-4ec8-afbf-64746c71d0cb,ákvörðun
66/2019,20/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=7b43b9c1-3371-4058-84f8-52826b1f8be8,ákvörðun
349/2018,8/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=9f95316e-f4fc-4c99-8509-fab8a4cefdc7,ákvörðun
44/2018,24/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=ea3c4aa5-3488-456f-b331-a72b0f647e40,ákvörðun
429/2018,9/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b0b0be23-ad26-4fe8-b431-e1df06bbf529,ákvörðun
407/2018,5/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=bbe376db-a2fc-421f-b896-f430dd5dcbf0,ákvörðun
408/2018,6/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=e4f76702-8f79-4b38-8a0d-44dc911004e9,ákvörðun
377/2018,7/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=7f4b8584-80d8-4fd8-a796-d82de9519d47,ákvörðun
340/2018,3/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=60c94c57-633d-499a-b3d8-f335f22f36e8,ákvörðun
341/2018,4/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=3c7c141b-2e6c-42c7-a41a-fae3eed38c39,ákvörðun
61/2019,15/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=54dcdd8a-ba9e-4579-9fdc-2ea447006548,ákvörðun
174/2018,33/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=02ebbfb4-1bac-4f25-ab65-a7e511b41ca7,ákvörðun
400/2018,34/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=40fbd630-9bf6-4039-9632-c71541767d09,ákvörðun
633/2018,16/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=820a94f5-60fc-478c-8cce-f4af20c45ff1,ákvörðun
185/2018,31/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=7e4a7329-245b-4856-b406-62bf78015914,ákvörðun
445/2018,14/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=4fa0065b-c289-42b3-a60b-7bb0df91ff12,ákvörðun
188/2018,29/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=7049e82a-f012-48f8-a44f-7e88543932e2,ákvörðun
672/2018,12/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=1b7d1002-c0a7-4cca-bd72-086752181a18,ákvörðun
95/2018,19/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=838d1c4c-4bcd-4376-927c-5d4582a5d9a9,ákvörðun
220/2018,27/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b240b658-5d03-4896-94e9-115b9d9200d3,ákvörðun
442/2018,26/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=95b9db44-6e83-4514-92da-b4fd177f1a2b,ákvörðun
112/2018,25/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=e4180c4e-2484-434a-8a2d-8030ed7ca295,ákvörðun
129/2018,21/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=2a9f3b81-7c37-4022-b786-e4a67db47667,ákvörðun
424/2018,18/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=860df09c-e287-49cd-a018-f40b2fe8108e,ákvörðun
1/2019,1/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=873737c5-fa5d-4a05-ad60-4398594b38db,ákvörðun
775/2018,32/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=4c8a490a-8540-4436-bd8e-90b413a36437,ákvörðun
275/2018,30/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=2878e2f5-0e48-46c3-8729-25e387d4d87b,ákvörðun
774/2018,28/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=26ad17b8-979a-44ba-9c5b-6bb49f30ebc6,ákvörðun
306/2018,23/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=0a3bf36d-86ba-4bc0-b7c8-a2e26533e727,ákvörðun
153/2018,22/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=7752e3e3-858e-49ac-836a-6ecbde5f5263,ákvörðun
653/2018,20/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=8a437672-fe7d-4c61-bc7d-fef00b8f6d35,ákvörðun
4/2018,11/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=ad7ed949-614c-41dd-a3ed-23c8938c178a,ákvörðun
319/2018,13/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=2be4f4e9-f88c-4e98-9e3e-c4f83a7374d5,ákvörðun
289/2018,15/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=f2aecc31-e274-4278-930d-c23f7e629e46,ákvörðun
129/2018,7/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=ba641094-64ae-49be-9f38-f1c6fb9eaddb,ákvörðun
189/2018,8/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=caef0d6d-d2dc-4ea4-b642-c34f451dd452,ákvörðun
227/2018,14/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b578bf12-b56d-4aa5-b070-12ebd9739d01,ákvörðun
25/2018,6/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=f5fd7299-fd01-4065-863d-c27c4caa3376,ákvörðun
6/2018,10/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=a3ebcb0d-4cdd-426a-a2b9-d1ee16b91c55,dómur
285/2018,9/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=e1a3d0f7-b79b-4958-8cfd-05af4b5c7db4,ákvörðun
6/2018,5/2018,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=58996acc-c357-40a4-8b5b-4494586fa838,dómur
234/2024,95/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=f94bfdf0-9c2d-4871-8c99-100ebef84f4b,ákvörðun
327/2024,103/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=2f36d239-2768-46bb-bc71-356ff67f6aa6,ákvörðun
701/2024,100/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=51baa894-385c-431f-b48f-710337fa88ea,ákvörðun
867/2023,116/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=18e9c25a-0b2a-4250-b5aa-aaf29c5b2fab,ákvörðun
302/2025,105/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=e5145cdc-d206-4d7a-a8f7-2c5e87929ea8,ákvörðun
317/2025,106/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=65b615fe-97c6-4451-9ee3-2ce4c8f86ccb,ákvörðun
98/2024,94/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=39eefec9-695e-4f03-ba8e-7954ea7cfdac,ákvörðun
76/2025,104/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=75fb3073-ab0e-4be8-9d76-cc43b24aab7c,ákvörðun
112/2024,82/2025,https://www.haestirettur.is/akvardanir/_malskotsbeidni/?id=7343e842-7cd9-4f30-b35e-45b07b9aa646,ákvörðun
239/2024,86/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=ab90aba0-fa6d-4df5-aad8-570e469c046a,ákvörðun
338/2023,77/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=77f429a2-8eb4-4ea3-b547-72e3a4aabcdb,ákvörðun
41/2024,92/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=c74de9e8-5a1d-4bce-8d48-c6d113d6b2ad,ákvörðun
139/2024,91/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=0156f7e7-4169-45a9-a8fe-e8265bb88685,ákvörðun
904/2023,80/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=01f5cf90-63f6-4179-9781-3082ca1f0db4,ákvörðun
198/2025,88/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=68117de9-ab58-40be-9e0d-4ce39f6c9415,ákvörðun
615/2023,72/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=0e1a071e-8571-49a3-8e3c-52a8c80acefa,ákvörðun
179/2025,83/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=3e5468d9-1a18-42f0-87c7-5450200a6c22,ákvörðun
162/2024,73/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=09218100-1b2d-4f3c-9618-974e19a5cec1,ákvörðun
533/2023,50/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=5f0213b7-7578-4605-b16c-d1b64d527ee7,ákvörðun
324/2024,61/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=aee67480-09e0-4148-a897-d1d340e431d5,ákvörðun
846/2023,44/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=7aa78d94-ff5b-462f-9fbd-cd53fd248465,ákvörðun
1010/2024,35/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=f5dadba4-dd8c-43ab-87b8-e95a9401271b,ákvörðun
6/2025,45/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=4f797f60-548a-4715-bdcb-6ca9162d2150,ákvörðun
844/2023,34/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=8efe9538-bb2b-46ba-b475-7ff897c8c9ec,ákvörðun
911/2023,37/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=c0f941fe-2f17-402d-8058-ada9675f0b1d,ákvörðun
759/2023,41/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=c1183983-5919-48ef-8979-caa9ecb5ae82,ákvörðun
67/2025,43/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=f9dbde88-5d55-41f3-b7dc-7dbd7fb0753c,ákvörðun
429/2023,40/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=501b4d20-9ac4-4e8e-a7c2-0a20ec7742b1,ákvörðun
123/2024,74/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=b1516a69-3dd3-45c8-881d-751810fb99ea,ákvörðun
878/2023,59/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=a2f38654-362a-46af-8e3d-300a38b07c0b,ákvörðun
839/2023,58/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=e60dca3e-61c5-481b-91b8-5391b58867fe,ákvörðun
75/2024,70/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=8492c667-9eb1-4b98-a8c9-66d6dbecf925,ákvörðun
